iter	RMSE
228	1094.505212
229	1093.148054
230	1090.310847
231	1087.62939
232	1084.32538
233	1082.500591
234	1079.695131
235	1076.879508
236	1076.516368
237	1076.085899
238	1073.961868
239	1072.501034
240	1069.501906
241	1068.795707
242	1068.468978
243	1067.329937
244	1064.445862
245	1063.477353
246	1061.892375
247	1059.528661
248	1057.258576
249	1056.955613
250	1056.592646
251	1054.930723
252	1052.720818
253	1051.127949
254	1049.526935
255	1048.373186
256	1047.4079
257	1046.326298
258	1045.42308
259	1043.8317
260	1043.256904
261	1040.650678
262	1039.63905
263	1038.66773
264	1034.910526
265	1031.836723
266	1030.272964
267	1029.148083
268	1028.217448
269	1027.431889
270	1026.166776
271	1023.805061
272	1022.852032
273	1019.66427
274	1017.283417
275	1015.682435
276	1013.80761
277	1011.253248
278	1009.739122
279	1009.088025
280	1008.214047
281	1007.355412
282	1005.417338
283	1004.939368
284	1001.98011
285	1000.211938
286	999.4585708
287	998.5267281
288	996.9192477
289	995.2910139
290	992.4702918
291	989.8656781
292	986.9509719
293	985.1516579
294	983.328405
295	982.184448
296	979.5867272
297	978.124618
298	975.5509939
299	973.8858367
300	972.8082375
301	971.8066353
302	970.4366877
303	968.4630555
304	966.0902885
305	964.9526539
306	962.620095
307	961.2554536
308	960.7277691
309	959.5643621
310	958.7895071
311	956.9504673
312	955.7453425
313	954.8886493
314	953.7079673
315	952.5848116
316	951.3812804
317	950.2600975
318	949.0028594
319	947.5129637
320	946.6917964
321	945.2769908
322	944.0836117
323	943.2788141
324	941.8368147
325	940.8796265
326	939.7913883
327	938.7673275
328	937.9025706
329	936.0767503
330	935.1428937
331	934.1459373
332	933.3981097
333	932.4438528
334	931.6346654
335	930.391285
336	929.3836805
337	928.0126988
338	926.7261311
339	925.2525163
340	924.6909159
341	923.8389704
342	923.2671931
343	922.282151
344	920.9618307
345	919.211886
346	918.0745576
347	917.1682067
348	916.4073833
349	915.2694862
350	914.8365155
351	913.6362614
352	912.7558259
353	912.4189505
354	911.6215135
355	910.5026476
356	909.6826254
357	909.1341951
358	908.3112757
359	907.3656958
360	906.3411448
361	905.0671006
362	903.880449
363	903.6135548
364	903.0092457
365	902.0321655
366	901.2794148
367	900.2052418
368	899.7223925
369	899.0132757
370	898.2674186
371	897.015043
372	896.6693855
373	895.9065611
374	895.0131737
375	894.2786531
376	892.902436
377	892.220757
378	891.1127562
379	890.5210792
380	889.5625146
381	888.4463708
382	887.7893876
383	887.1052865
384	886.3409594
385	885.4569274
386	884.9253955
387	884.7138689
388	884.13042
389	883.6137731
390	882.3834005
391	881.4060202
392	880.3694701
393	879.3433197
394	878.8548583
395	877.3317458
396	876.5787382
397	875.6680639
398	875.3170699
399	874.8041209
400	874.1624109
401	873.3699041
402	872.8049554
403	871.6249797
404	871.1165548
405	870.988365
406	870.3253864
407	869.2528114
408	869.0957707
409	868.5073652
410	867.7386937
411	867.2059468
412	866.3109592
413	865.5105297
414	864.8927106
415	864.7754424
416	864.5286297
417	863.7953595
418	863.6840224
419	863.2431673
420	863.0245213
421	862.4807684
422	861.8680342
423	861.3479579
424	861.2128598
425	859.9896035
426	859.450695
427	858.8840133
428	857.8386553
429	857.5108981
430	857.0179957
431	856.3991019
432	855.0093388
433	854.5435745
434	853.2622181
435	852.4132208
436	851.9715444
437	851.6412398
438	850.9950738
439	850.3432844
440	850.1316517
441	849.772246
442	849.3680279
443	848.8718783
444	848.1372158
445	847.3518973
446	846.5838007
447	846.2001716
448	845.7844758
449	845.4340134
450	844.6760572
451	844.0632553
452	843.3152314
453	842.9762529
454	842.6798561
455	841.9944061
456	841.1610123
457	840.7458507
458	840.3023451
459	839.1968181
460	838.9796608
461	838.1864142
462	837.8532895
463	837.5543758
464	837.2520522
465	836.8509742
466	835.8161797
467	835.1749391
468	834.7865847
469	834.3558177
470	833.4133288
471	832.3662699
472	831.8763738
473	831.3659043
474	830.3887873
475	829.7734406
476	829.1620492
477	828.388203
478	827.5309817
479	826.5871938
480	826.0918538
481	825.395799
482	825.0496194
483	824.2275948
484	823.8249618
485	823.0509929
486	822.7585007
487	821.8281808
488	821.2589414
489	820.4744891
490	820.0463742
491	819.7392077
492	819.1254606
493	818.8187891
494	818.2273295
495	817.8804586
496	817.5658156
497	816.9238656
498	816.5210453
499	816.0251738
500	815.4944261
501	814.8667553
502	814.5982844
503	814.2897105
504	813.8448253
505	813.3212551
506	812.9447215
507	812.2769049
508	811.6718652
509	810.4226172
510	809.873316
511	809.268224
512	808.9153342
513	808.3208395
514	807.76286
515	807.3146407
516	806.6690698
517	806.5948509
518	806.1567959
519	805.5772373
520	805.0257211
521	804.4076955
522	803.8419333
523	803.2038037
524	802.7513122
525	802.3038082
526	801.7842271
527	801.418898
528	800.3257903
529	800.2305751
530	799.3603849
531	799.2686636
532	798.7023587
533	797.7966004
534	797.708972
535	797.1611805
536	797.0771041
537	796.684525
538	796.1593079
539	795.4245285
540	795.1661942
541	794.5823561
542	793.82006
543	792.894283
544	792.8137789
545	792.4493486
546	791.583149
547	790.9868582
548	790.7872265
549	790.7104283
550	790.6368762
551	790.1788033
552	789.6180944
553	789.2305666
554	788.7151483
555	788.3127766
556	787.9214276
557	787.8518059
558	787.7741433
559	787.6998304
560	787.1713711
561	786.4989118
562	785.8755754
563	785.3712379
564	785.2993312
565	784.4558798
566	784.2026789
567	783.5024016
568	783.1202185
569	782.5190603
570	782.1080772
571	781.3947698
572	780.7948447
573	780.7343652
574	780.0497052
575	779.8247936
576	779.0949891
577	778.7709704
578	778.0739165
579	777.4241878
580	777.0049641
581	776.3666717
582	775.7993793
583	775.5834129
584	775.0775341
585	774.6987249
586	774.4749967
587	774.4128637
588	774.216038
589	773.7460806
590	773.2437031
591	772.5863037
592	772.2723033
593	772.2340695
594	771.349684
595	771.0731642
596	770.3849993
597	770.0817511
598	769.4458552
599	768.8319443
600	768.2321172
601	767.7732159
602	767.1916078
603	766.7128995
604	766.1390802
605	765.1896456
606	764.7592789
607	764.0580685
608	763.8415047
609	763.3282688
610	763.1107678
611	762.5347611
612	762.3322055
613	761.8992543
614	761.7576875
615	761.4361486
616	761.1218086
617	761.0832563
618	760.8955414
619	760.4157518
620	759.909367
621	759.2264956
622	759.0460436
623	758.6076238
624	758.0690191
625	757.7081569
626	757.4040036
627	756.9730131
628	756.4737743
629	756.1078272
630	755.552878
631	754.6839185
632	754.0646706
633	753.7139917
634	753.4020786
635	753.0231754
636	752.6190204
637	752.2064056
638	751.6738728
639	751.2801038
640	751.2423659
641	751.1294194
642	750.6102897
643	750.1699614
644	749.826769
645	749.5251202
646	749.3362211
647	748.7855584
648	748.3554936
649	747.853695
650	747.3576927
651	746.6439221
652	746.3896355
653	745.9019897
654	745.5924419
655	745.0745177
656	744.521656
657	744.4868611
658	744.1903598
659	743.7164797
660	743.3182969
661	742.6550948
662	742.185446
663	741.7293269
664	740.8368588
665	740.8060283
666	740.5081535
667	740.2719133
668	739.7752466
669	739.3371028
670	739.183235
671	738.6892868
672	737.8223445
673	737.7931112
674	737.7648834
675	737.3698383
676	737.0266742
677	736.751918
678	736.377697
679	735.762081
680	735.3597967
681	735.0075233
682	734.7999365
683	734.5400517
684	734.200929
685	734.0261815
686	733.7105585
687	733.3895879
688	732.9413883
689	732.6272193
690	732.2960221
691	732.1047839
692	731.7048194
693	731.4555843
694	730.6516629
695	730.3641418
696	730.0802097
697	729.8994263
698	729.5814609
699	729.3323037
700	729.0682743
701	728.7067692
702	728.494996
703	727.9661536
704	727.725428
705	727.2567215
706	726.8514853
707	726.5514502
708	725.7952157
709	725.5598808
710	725.0033421
711	724.6745353
712	724.4218367
713	724.0256172
714	723.6666012
715	723.1699494
716	722.9666597
717	722.8111845
718	722.6217466
719	721.8742256
720	721.6291835
721	721.3845239
722	721.1034297
723	720.770471
724	720.4783634
725	720.3345635
726	720.1547057
727	719.772576
728	719.3826787
729	719.1402818
730	719.1009836
731	718.7275396
732	718.5510772
733	718.2252941
734	717.8686934
735	717.5213202
736	717.3852209
737	717.0803019
738	716.7242946
739	716.3989359
740	716.2102116
741	715.9644346
742	715.5461151
743	715.3219406
744	715.2992334
745	714.60502
746	714.3206409
747	713.998755
748	713.8378701
749	713.6538078
750	713.6312928
751	713.4938674
752	713.1611307
753	712.8002658
754	712.5644686
755	712.2239564
756	711.929402
757	711.6407183
758	711.4295964
759	711.0291641
760	710.9012108
761	710.7424818
762	710.3484367
763	710.1923174
764	709.6401243
765	709.1264395
766	708.8696243
767	708.4499801
768	708.0696712
769	707.8523767
770	707.6902967
771	707.3249847
772	706.9662126
773	706.766223
774	706.3681725
775	706.2437745
776	706.0937636
777	705.7660516
778	705.5209214
779	705.2734688
780	705.2530805
781	704.9371768
782	704.7216344
783	704.4812786
784	704.2643992
785	704.0433837
786	704.0185764
787	703.864168
788	703.4981487
789	703.0328273
790	702.8060401
791	702.6361234
792	702.2582001
793	701.9501235
794	701.5838905
795	701.3989733
796	701.0898202
797	700.8919779
798	700.5471622
799	699.9787954
800	699.8651157
801	699.6642473
802	699.2722355
803	699.2390478
804	699.0682616
805	698.9190049
806	698.6721497
807	698.5628009
808	698.1869909
809	698.049869
810	697.8952312
811	697.5436328
812	697.1530861
813	697.0186946
814	696.7165037
815	696.4499583
816	696.2161458
817	696.0417854
818	695.8229338
819	695.5168339
820	695.2177382
821	694.6044649
822	694.4389773
823	694.1742466
824	693.9564541
825	693.6453337
826	693.3881522
827	693.2784443
828	692.866757
829	692.4693424
830	692.0634517
831	691.8582222
832	691.7151282
833	691.4913689
834	691.2840646
835	691.0474133
836	690.8699935
837	690.549544
838	690.0766405
839	689.8342294
840	689.4843596
841	689.3120241
842	689.0961343
843	688.6544686
844	688.3900457
845	688.1184082
846	687.8584368
847	687.5790445
848	687.2173241
849	687.1726227
850	686.8316675
851	686.5277245
852	686.2429628
853	685.9749773
854	685.830075
855	685.5969232
856	685.5091107
857	685.1173537
858	684.8007023
859	684.5148613
860	684.3494305
861	684.1867216
862	684.067663
863	683.8623855
864	683.3745811
865	683.2285372
866	683.0177706
867	682.7474202
868	682.481906
869	682.3406117
870	682.1666166
871	682.1293825
872	682.1141176
873	681.9716074
874	681.9468518
875	681.7821944
876	681.7461501
877	681.523087
878	681.2377769
879	681.2142303
880	681.1916023
881	681.0992919
882	681.0190633
883	680.7094634
884	680.6788532
885	680.4384784
886	680.3080173
887	680.0882184
888	679.633165
889	679.4400182
890	679.3251593
891	679.3052528
892	679.1885853
893	679.1694133
894	678.9883087
895	678.6920274
896	678.5434405
897	678.3162266
898	678.1673664
899	677.9849484
900	677.793245
901	677.5963676
902	677.4852769
903	677.1248193
904	676.6848889
905	676.5057264
906	676.2262378
907	676.1579948
908	675.8636646
909	675.8349168
910	675.6385123
911	675.521045
912	675.3597078
913	674.9610596
914	674.7741754
915	674.639889
916	674.4635987
917	674.1310342
918	674.0079775
919	673.9927132
920	673.96768
921	673.8302618
922	673.6158378
923	673.5165807
924	673.4261389
925	673.2496257
926	673.1407387
927	673.0121389
928	672.8500214
929	672.6167519
930	672.4436254
931	672.3105226
932	672.260817
933	671.8656698
934	671.6429373
935	671.5949803
936	671.1028337
937	670.8992268
938	670.6666785
939	670.3901582
940	670.3252946
941	670.066553
942	670.0436972
943	669.8140758
944	669.7982472
945	669.5491496
946	669.4209263
947	669.3799256
948	669.124901
949	668.8188155
950	668.4968161
951	668.3869442
952	668.1504056
953	668.0288876
954	667.8883525
955	667.6247991
956	667.4827107
957	667.4664281
958	667.329931
959	667.1573069
960	667.0275482
961	666.7943326
962	666.6039587
963	666.2736779
964	665.786318
965	665.6440298
966	665.5192617
967	665.3178361
968	665.141914
969	664.7743459
970	664.5756692
971	664.5552183
972	664.1852191
973	663.8994992
974	663.7072738
975	663.4495211
976	663.1794716
977	662.8540444
978	662.7148244
979	662.6438632
980	662.3936277
981	662.2110326
982	662.0756305
983	661.9997482
984	661.8074589
985	661.7335362
986	661.3178068
987	661.2733899
988	660.94075
989	660.7432903
990	660.6758696
991	660.5165376
992	660.2331848
993	659.9716061
994	659.7669988
995	659.5710014
996	659.3542279
997	659.3252846
998	659.1503384
999	659.0214189
